framework,trace_idx,n_steps,fm,judge,forced,semi,relaxed
HyperAgent,0,40,2.1,1,"27,28,29",RETRACTED,"9,14,18,26"
HyperAgent,0,40,2.2,0,~,~,
HyperAgent,0,40,2.3,1,26,"23,24,25,26",24
HyperAgent,0,40,2.4,0,~,~,"9,12,36"
HyperAgent,0,40,2.5,0,~,~,33
HyperAgent,0,40,2.6,1,"7,17","18,23,24,26,30,37,38,39","7,23,24,30"
HyperAgent,0,40,3.1,0,~,~,"8,13,17"
HyperAgent,0,40,3.2,0,~,~,
HyperAgent,0,40,3.3,1,"24,25","33,37,38,39",
MetaGPT,0,6,1.1,0,~,~,1
MetaGPT,0,6,1.2,0,~,~,
MetaGPT,0,6,1.3,0,~,~,
MetaGPT,0,6,1.4,0,~,~,
MetaGPT,0,6,1.5,0,~,~,
MetaGPT,0,6,2.1,0,~,~,
MetaGPT,0,6,2.2,0,~,~,
MetaGPT,0,6,2.3,0,~,~,
MetaGPT,0,6,2.4,0,~,~,
MetaGPT,0,6,2.5,0,~,~,
MetaGPT,0,6,2.6,0,~,~,
MetaGPT,0,6,3.1,1,global,global,
MetaGPT,0,6,3.2,0,~,~,"2,4"
MetaGPT,0,6,3.3,0,~,~,
MagenticOne,0,13,1.1,1,global,RETRACTED,
MagenticOne,0,13,1.2,0,~,~,
MagenticOne,0,13,1.3,0,~,~,
MagenticOne,0,13,1.4,0,~,~,
MagenticOne,0,13,1.5,0,~,~,
MagenticOne,0,13,2.1,0,~,~,
MagenticOne,0,13,2.2,0,~,~,
MagenticOne,0,13,2.3,0,~,~,
MagenticOne,0,13,2.4,0,~,~,
MagenticOne,0,13,2.5,0,~,~,
MagenticOne,0,13,2.6,1,10,RETRACTED,
MagenticOne,0,13,3.1,0,~,~,
MagenticOne,0,13,3.2,0,~,~,12
MagenticOne,0,13,3.3,0,~,~,
OpenManus,0,83,1.1,1,global,global,global
OpenManus,0,83,1.2,1,"5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82",RETRACTED,"52,62,70,71,75,77,81"
OpenManus,0,83,1.3,1,"62,63,64,65,66,67,68,69","39,40,41,42,43,44,45,46,47,48,49,50,51,52,53","42,43,45,46,63,64,65,66,67,68,69"
OpenManus,0,83,1.4,0,~,~,
OpenManus,0,83,1.5,0,~,~,global
OpenManus,0,83,2.1,0,~,~,"72,73,74,76,78,80,82"
OpenManus,0,83,2.2,1,"5,8,11,14,23,29,30,48,49,52,53",29,
OpenManus,0,83,2.3,1,"6,9,10,12,13,15,24,25,27,31,32,34,35,37,38,40,41,43,44,46,47,50,51,57,60,70,71,75,77,81",global,"52,62,70,71,75,77,81"
OpenManus,0,83,2.4,0,~,~,"38,44,53"
OpenManus,0,83,2.5,0,~,~,"10,11,13,14,25,39,75,77,81"
OpenManus,0,83,2.6,1,"23,52,53","62,63,64,65,66,67,68,69","11,14,39,42,45,53,55,56,57,70,71,75,77,81"
OpenManus,0,83,3.1,0,~,~,global
OpenManus,0,83,3.2,0,~,~,
OpenManus,0,83,3.3,1,"39,45","54,79","54,79"
