trace_idx,trace,mas_name,trace_id,model,mode,baseline_verdict,result_type,steps
2,AG2_tid2,AG2,2,gemini-2.5-flash,2.2,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,2.3,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,2.4,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,2.5,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,2.6,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,3.1,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,3.2,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-flash,3.3,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,1.1,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,1.2,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,1.3,1,steps,3
2,AG2_tid2,AG2,2,gemini-2.5-pro,1.4,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,1.5,1,global,global
2,AG2_tid2,AG2,2,gemini-2.5-pro,2.1,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,2.2,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,2.3,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,2.4,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,2.5,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,2.6,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,3.1,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,3.2,0,none,
2,AG2_tid2,AG2,2,gemini-2.5-pro,3.3,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,1.1,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,1.2,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,1.3,1,steps,"19,23,29,33,38,42,49,53,54,58"
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,1.4,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,1.5,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,2.1,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,2.2,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,2.3,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,2.4,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,2.5,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,2.6,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,3.1,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,3.2,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-flash,3.3,1,steps,"11,13"
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,1.1,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,1.2,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,1.3,1,steps,"34,39,43,54"
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,1.4,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,1.5,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,2.1,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,2.2,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,2.3,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,2.4,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,2.5,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,2.6,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,3.1,0,none,
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,3.2,1,steps,46
3,ChatDev_tid3,ChatDev,3,gemini-2.5-pro,3.3,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,1.1,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,1.2,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,1.3,1,steps,5
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,1.4,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,1.5,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,2.1,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,2.2,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,2.3,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,2.4,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,2.5,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,2.6,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,3.1,1,global,global
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,3.2,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-flash,3.3,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,1.1,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,1.2,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,1.3,1,steps,5
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,1.4,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,1.5,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,2.1,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,2.2,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,2.3,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,2.4,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,2.5,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,2.6,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,3.1,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,3.2,0,none,
4,MetaGPT_tid4,MetaGPT,4,gemini-2.5-pro,3.3,1,steps,"2,3,4,5"
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,1.1,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,1.2,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,1.3,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,1.4,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,1.5,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,2.1,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,2.2,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,2.3,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,2.4,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,2.5,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,2.6,1,steps,"17,28"
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,3.1,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,3.2,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-flash,3.3,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,1.1,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,1.2,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,1.3,1,steps,"41,54,67,80"
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,1.4,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,1.5,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,2.1,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,2.2,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,2.3,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,2.4,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,2.5,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,2.6,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,3.1,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,3.2,0,none,
5,AppWorld_tid5,AppWorld,5,gemini-2.5-pro,3.3,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,1.1,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,1.2,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,1.3,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,1.4,1,steps,"15,16,20,21,22"
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,1.5,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,2.1,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,2.2,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,2.3,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,2.4,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,2.5,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,2.6,1,steps,"15,16,20,21"
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,3.1,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,3.2,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-flash,3.3,1,steps,"15,16,18,20,22,23"
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,1.1,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,1.2,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,1.3,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,1.4,1,steps,"15,16,20,21,22"
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,1.5,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,2.1,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,2.2,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,2.3,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,2.4,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,2.5,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,2.6,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,3.1,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,3.2,0,none,
6,HyperAgent_tid6,HyperAgent,6,gemini-2.5-pro,3.3,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,1.1,1,global,global
7,AG2_tid7,AG2,7,gemini-2.5-flash,1.2,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,1.3,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,1.4,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,1.5,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,2.1,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,2.2,1,steps,"1,3"
7,AG2_tid7,AG2,7,gemini-2.5-flash,2.3,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,2.4,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,2.5,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,2.6,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,3.1,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,3.2,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-flash,3.3,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,1.1,1,global,global
7,AG2_tid7,AG2,7,gemini-2.5-pro,1.2,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,1.3,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,1.4,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,1.5,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,2.1,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,2.2,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,2.3,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,2.4,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,2.5,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,2.6,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,3.1,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,3.2,0,none,
7,AG2_tid7,AG2,7,gemini-2.5-pro,3.3,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,1.1,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,1.2,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,1.3,1,steps,"34,43"
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,1.4,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,1.5,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,2.1,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,2.2,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,2.3,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,2.4,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,2.5,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,2.6,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,3.1,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,3.2,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-flash,3.3,1,steps,"11,13"
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,1.1,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,1.2,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,1.3,1,steps,"34,39,43,54"
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,1.4,1,steps,"11,13,14"
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,1.5,1,global,global
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,2.1,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,2.2,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,2.3,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,2.4,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,2.5,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,2.6,1,steps,"13,14"
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,3.1,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,3.2,0,none,
8,ChatDev_tid8,ChatDev,8,gemini-2.5-pro,3.3,1,steps,46
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,1.1,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,1.2,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,1.3,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,1.4,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,1.5,1,global,global
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,2.1,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,2.2,1,steps,"1,2,3,4,5"
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,2.3,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,2.4,1,steps,"3,5"
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,2.5,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,2.6,1,steps,"2,4"
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,3.1,1,global,global
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,3.2,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-flash,3.3,1,steps,"2,4"
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,1.1,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,1.2,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,1.3,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,1.4,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,1.5,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,2.1,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,2.2,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,2.3,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,2.4,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,2.5,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,2.6,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,3.1,1,global,global
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,3.2,0,none,
9,MetaGPT_tid9,MetaGPT,9,gemini-2.5-pro,3.3,1,steps,"2,4,5"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,1.1,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,1.2,1,steps,"7,11,16,17,23,28,29,35"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,1.3,1,steps,"17,20,21,22,26,27,32,33,34"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,1.4,1,steps,"23,24,29,30"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,1.5,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,2.1,1,steps,"23,29,32,33,34"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,2.2,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,2.3,1,steps,"23,24"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,2.4,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,2.5,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,2.6,1,steps,"20,21,22,23,26,27,29,32,33,34"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,3.1,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,3.2,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-flash,3.3,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,1.1,1,global,global
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,1.2,1,steps,"23,24,29,30,35,36"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,1.3,1,steps,"17,20,21,22,26,27,32,33,34"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,1.4,1,steps,"23,24,29,30,35,36"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,1.5,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,2.1,1,steps,"23,24,29,30,36"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,2.2,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,2.3,1,steps,"23,36"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,2.4,1,steps,"23,28,29,35"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,2.5,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,2.6,1,steps,"23,29,35"
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,3.1,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,3.2,0,none,
10,HyperAgent_tid10,HyperAgent,10,gemini-2.5-pro,3.3,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,1.1,1,global,global
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,1.2,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,1.3,1,steps,"42,64"
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,1.4,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,1.5,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,2.1,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,2.2,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,2.3,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,2.4,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,2.5,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,2.6,1,steps,71
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,3.1,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,3.2,1,steps,71
11,AppWorld_tid11,AppWorld,11,gemini-2.5-flash,3.3,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,1.1,1,global,global
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,1.2,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,1.3,1,steps,"60,64"
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,1.4,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,1.5,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,2.1,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,2.2,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,2.3,0,none,
11,AppWorld_tid11,AppWorld,11,gemini-2.5-pro,2.4,0,none,
