name,model,mode,precision,recall,f1,support
gemini-2.5-pro_zero_shot,gemini-2.5-pro,3.1,0.0,0.0,0.0,6
gemini-2.5-pro_zero_shot,gemini-2.5-pro,3.2,0.0,0.0,0.0,4
gemini-2.5-pro_zero_shot,gemini-2.5-pro,3.3,0.36363636363636365,0.36363636363636365,0.36363636363636365,11
gemini-2.5-pro_few_shot,gemini-2.5-pro,1.1,0.45454545454545453,0.3125,0.37037037037037035,16
gemini-2.5-pro_few_shot,gemini-2.5-pro,1.2,0.0,0.0,0.0,0
gemini-2.5-pro_few_shot,gemini-2.5-pro,1.3,0.45454545454545453,0.5555555555555556,0.5,9
gemini-2.5-pro_few_shot,gemini-2.5-pro,1.4,0.0,0.0,0.0,3
gemini-2.5-pro_few_shot,gemini-2.5-pro,1.5,0.0,0.0,0.0,7
gemini-2.5-pro_few_shot,gemini-2.5-pro,2.1,0.0,0.0,0.0,2
gemini-2.5-pro_few_shot,gemini-2.5-pro,2.2,0.0,0.0,0.0,6
gemini-2.5-pro_few_shot,gemini-2.5-pro,2.3,0.3333333333333333,0.2,0.25,5
gemini-2.5-pro_few_shot,gemini-2.5-pro,2.4,0.0,0.0,0.0,2
gemini-2.5-pro_few_shot,gemini-2.5-pro,2.5,0.0,0.0,0.0,0
gemini-2.5-pro_few_shot,gemini-2.5-pro,2.6,0.2857142857142857,0.14285714285714285,0.19047619047619047,14
gemini-2.5-pro_few_shot,gemini-2.5-pro,3.1,0.0,0.0,0.0,6
gemini-2.5-pro_few_shot,gemini-2.5-pro,3.2,0.0,0.0,0.0,4
gemini-2.5-pro_few_shot,gemini-2.5-pro,3.3,0.5,0.6363636363636364,0.56,11
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.1,0.625,0.3125,0.4166666666666667,16
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.2,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.3,0.375,0.3333333333333333,0.35294117647058826,9
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.4,0.0,0.0,0.0,3
gemini-2.5-flash_zero_shot,gemini-2.5-flash,1.5,0.0,0.0,0.0,7
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.1,0.0,0.0,0.0,2
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.2,0.0,0.0,0.0,6
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.3,0.16666666666666666,0.2,0.18181818181818182,5
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.4,0.0,0.0,0.0,2
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.5,0.0,0.0,0.0,0
gemini-2.5-flash_zero_shot,gemini-2.5-flash,2.6,0.4375,0.5,0.4666666666666667,14
gemini-2.5-flash_zero_shot,gemini-2.5-flash,3.1,0.0,0.0,0.0,6
gemini-2.5-flash_zero_shot,gemini-2.5-flash,3.2,0.1111111111111111,0.25,0.15384615384615385,4
gemini-2.5-flash_zero_shot,gemini-2.5-flash,3.3,0.25,0.09090909090909091,0.13333333333333333,11
gemini-2.5-flash_few_shot,gemini-2.5-flash,1.1,0.5454545454545454,0.375,0.4444444444444444,16
gemini-2.5-flash_few_shot,gemini-2.5-flash,1.2,0.0,0.0,0.0,0
gemini-2.5-flash_few_shot,gemini-2.5-flash,1.3,0.14285714285714285,0.1111111111111111,0.125,9
gemini-2.5-flash_few_shot,gemini-2.5-flash,1.4,0.0,0.0,0.0,3
gemini-2.5-flash_few_shot,gemini-2.5-flash,1.5,0.0,0.0,0.0,7
gemini-2.5-flash_few_shot,gemini-2.5-flash,2.1,0.0,0.0,0.0,2
gemini-2.5-flash_few_shot,gemini-2.5-flash,2.2,0.0,0.0,0.0,6
gemini-2.5-flash_few_shot,gemini-2.5-flash,2.3,0.16666666666666666,0.2,0.18181818181818182,5
gemini-2.5-flash_few_shot,gemini-2.5-flash,2.4,0.0,0.0,0.0,2
gemini-2.5-flash_few_shot,gemini-2.5-flash,2.5,0.0,0.0,0.0,0
gemini-2.5-flash_few_shot,gemini-2.5-flash,2.6,0.42857142857142855,0.42857142857142855,0.42857142857142855,14
gemini-2.5-flash_few_shot,gemini-2.5-flash,3.1,0.0,0.0,0.0,6
gemini-2.5-flash_few_shot,gemini-2.5-flash,3.2,0.0,0.0,0.0,4
gemini-2.5-flash_few_shot,gemini-2.5-flash,3.3,0.4,0.36363636363636365,0.38095238095238093,11
