run,fm,judge,forced,semi,relaxed
19,1.1,0,~,~,"global,1,4"
19,1.2,1,4,RETRACTED,
19,1.3,0,~,~,
19,1.4,0,~,~,
19,1.5,0,~,~,
19,2.1,0,~,~,
19,2.2,1,4,RETRACTED,
19,2.3,1,4,4,
19,2.4,0,~,~,
19,2.5,0,~,~,
19,2.6,1,4,4,4
19,3.1,0,~,~,
19,3.2,0,~,~,2
19,3.3,1,4,4,
20,1.1,1,global,1,"1,4"
20,1.2,0,~,~,
20,1.3,0,~,~,
20,1.4,0,~,~,
20,1.5,0,~,~,
20,2.1,0,~,~,
20,2.2,1,1,4,1
20,2.3,0,~,~,
20,2.4,0,~,~,
20,2.5,0,~,~,
20,2.6,1,4,4,4
20,3.1,1,global,global,
20,3.2,0,~,~,2
20,3.3,0,~,~,
21,1.1,0,~,~,"global,1,4"
21,1.2,0,~,~,
21,1.3,0,~,~,
21,1.4,0,~,~,
21,1.5,1,global,RETRACTED,
21,2.1,0,~,~,
21,2.2,1,"4,5",4,
21,2.3,1,4,4,
21,2.4,0,~,~,
21,2.5,0,~,~,4
21,2.6,1,5,4,4
21,3.1,1,global,global,
21,3.2,0,~,~,"2,5"
21,3.3,0,~,~,
22,1.1,1,global,RETRACTED,1
22,1.2,1,4,RETRACTED,
22,1.3,0,~,~,
22,1.4,0,~,~,
22,1.5,0,~,~,
22,2.1,0,~,~,
22,2.2,1,4,4,
22,2.3,1,4,RETRACTED,
22,2.4,0,~,~,
22,2.5,0,~,~,
22,2.6,1,4,"4,5",4
22,3.1,0,~,~,
22,3.2,0,~,~,"2,3,4,5"
22,3.3,0,~,~,5
23,1.1,0,~,~,4
23,1.2,0,~,~,
23,1.3,0,~,~,
23,1.4,0,~,~,
23,1.5,1,global,RETRACTED,
23,2.1,0,~,~,
23,2.2,1,4,4,
23,2.3,1,4,RETRACTED,
23,2.4,0,~,~,
23,2.5,0,~,~,5
23,2.6,1,4,4,4
23,3.1,0,~,~,
23,3.2,0,~,~,
23,3.3,0,~,~,
24,1.1,1,global,global,4
24,1.2,1,4,RETRACTED,
24,1.3,0,~,~,
24,1.4,0,~,~,
24,1.5,0,~,~,
24,2.1,0,~,~,
24,2.2,1,4,RETRACTED,4
24,2.3,1,4,RETRACTED,
24,2.4,0,~,~,
24,2.5,0,~,~,4
24,2.6,1,4,4,4
24,3.1,0,~,~,
24,3.2,0,~,~,
24,3.3,1,4,4,
25,1.1,1,global,1,1
25,1.2,0,~,~,
25,1.3,0,~,~,
25,1.4,0,~,~,
25,1.5,0,~,~,
25,2.1,0,~,~,
25,2.2,1,4,4,
25,2.3,1,4,4,
25,2.4,0,~,~,
25,2.5,0,~,~,
25,2.6,1,4,4,4
25,3.1,0,~,~,
25,3.2,0,~,~,"2,4"
25,3.3,1,2,5,
26,1.1,1,global,RETRACTED,1
26,1.2,1,"2,4",RETRACTED,
26,1.3,0,~,~,
26,1.4,0,~,~,
26,1.5,1,global,global,
26,2.1,0,~,~,
26,2.2,1,4,4,
26,2.3,1,4,RETRACTED,
26,2.4,0,~,~,
26,2.5,0,~,~,
26,2.6,1,4,4,4
26,3.1,1,global,global,
26,3.2,0,~,~,2
26,3.3,1,4,RETRACTED,5
27,1.1,0,~,~,1
27,1.2,0,~,~,4
27,1.3,0,~,~,
27,1.4,0,~,~,
27,1.5,0,~,~,global
27,2.1,0,~,~,
27,2.2,1,2,4,
27,2.3,0,~,~,4
27,2.4,0,~,~,
27,2.5,0,~,~,"4,5"
27,2.6,1,4,4,4
27,3.1,0,~,~,
27,3.2,0,~,~,2
27,3.3,0,~,~,5
28,1.1,0,~,~,"1,4"
28,1.2,0,~,~,4
28,1.3,0,~,~,
28,1.4,0,~,~,
28,1.5,0,~,~,
28,2.1,0,~,~,
28,2.2,0,~,~,
28,2.3,0,~,~,
28,2.4,0,~,~,3
28,2.5,0,~,~,5
28,2.6,1,4,4,4
28,3.1,0,~,~,
28,3.2,0,~,~,"2,3"
28,3.3,0,~,~,5
29,1.1,1,global,global,"global,1,4,5"
29,1.2,0,~,~,
29,1.3,0,~,~,
29,1.4,0,~,~,
29,1.5,0,~,~,
29,2.1,0,~,~,
29,2.2,1,"1,2,4",4,4
29,2.3,1,4,4,
29,2.4,0,~,~,5
29,2.5,0,~,~,
29,2.6,1,4,4,4
29,3.1,0,~,~,
29,3.2,0,~,~,"2,5"
29,3.3,0,~,~,
30,1.1,1,global,global,1
30,1.2,0,~,~,
30,1.3,0,~,~,
30,1.4,0,~,~,
30,1.5,0,~,~,
30,2.1,0,~,~,
30,2.2,1,4,1,1
30,2.3,0,~,~,
30,2.4,0,~,~,
30,2.5,0,~,~,
30,2.6,1,4,5,4
30,3.1,0,~,~,
30,3.2,0,~,~,"2,4"
30,3.3,0,~,~,4
